account_display;property_display;sessions_now;sessions_prev;sessions_var_%;transactions_now;transactions_prev;transactions_var_%;purchaseRevenue_now;purchaseRevenue_prev;revenue_var_%;conversion_rate_now;conversion_rate_prev;conversion_var_%
antesdeparis.com.br/;http://antesdeparis.com.br - GA4;4053;4408;-8.053539019963702;23;22;4.545454545454546;12622.390005000001;12499.970008999999;0.9793623177644407;0.5674808783617074;0.49909255898366606;13.702532355382093
roupa para brincar;Roupa para Brincar – GA4;6061;6348;-4.521109010712035;110;128;-14.0625;38709.499919;39524.380029;-2.0617150968645195;1.8148820326678767;2.0163831127914302;-9.993194192377482
Banka Panka;Banka Panka – GA4;61040;44648;36.713850564414976;476;409;16.381418092909534;215776.51999799997;162998.46008499997;32.379483760446234;0.7798165137614679;0.9160544705249956;-14.872254996523187
Catucci Denim - Ecommerce;Catucci Denim – GA4;3278;3519;-6.848536516055698;12;5;140.0;5256.910005;1521.129997;245.59242243383355;0.36607687614399026;0.14208581983518045;157.64490543014034
Work Numbers;www.worknumbers.com.br - GA4;0;0;;0;0;;0.0;0.0;;0.0;0.0;
Madame Lost;Madame Lost - GA4;3364;4477;-24.860397587670317;65;73;-10.95890410958904;14074.869989;12140.530034;15.932911904033936;1.9322235434007136;1.6305561760107212;18.500887723356108
Daksul Jeans;Daksul Jeans - GA4;10478;10474;0.03818980332251289;63;64;-1.5625;24434.680022;26404.120005999997;-7.458835907246547;0.6012597824012216;0.6110368531602063;-1.6000787364000908
Dimy;Dimy – GA4;60057;94628;-36.53358414000085;405;52;678.8461538461538;189554.18998699996;31232.939996;506.90472946599374;0.6743593586093212;0.05495202265714165;1127.1784112785163
Dimy;Dimy Candy;0;0;;0;0;;0.0;0.0;;0.0;0.0;
Dra Priscila Amaral;Dra Priscila Amaral;27;34;-20.588235294117645;0;0;;0.0;0.0;;0.0;0.0;
Santo Óleo | Google Analytics Account;Propriedade Principal | https://santooleo.com.br/ - GA4;3409;3490;-2.3209169054441263;66;23;186.95652173913044;13527.380001999998;3677.1399950000005;267.8777533733794;1.9360516280434146;0.6590257879656161;193.7747905161529
Donna Maira;Donna Maira | GA4;0;0;;0;0;;0.0;0.0;;0.0;0.0;
Donna Maira;Donna Maira | UA - GA4;1473;1764;-16.49659863945578;3;8;-62.5;345.269999;816.340005;-57.70512324702255;0.20366598778004072;0.45351473922902497;-55.09164969450102
Laundrysp.com;Laundrysp.com – GA4;7611;7485;1.6833667334669338;45;41;9.75609756097561;26118.000008;26544.950006000006;-1.6084038504630935;0.5912495072920773;0.5477621910487642;7.939086880029221
Drafmil;(inativa);0;0;;0;0;;0.0;0.0;;0.0;0.0;
Drafmil;Kordi (peças);0;0;;0;0;;0.0;0.0;;0.0;0.0;
Drafmil;Kordi autopeças;0;0;;0;0;;0.0;0.0;;0.0;0.0;
Drafmil;Kordi UA – GA4;0;0;;0;0;;0.0;0.0;;0.0;0.0;
Drafmil;(inativa);0;0;;0;0;;0.0;0.0;;0.0;0.0;
Drafmil;drafmilatacado.com.br - GA4;0;0;;0;0;;0.0;0.0;;0.0;0.0;
Drafmil;(inativa);0;0;;0;0;;0.0;0.0;;0.0;0.0;
Drafmil;drafmil.com.br - GA4;1114;670;66.26865671641791;0;3;-100.0;0.0;820.2699970000001;-100.0;0.0;0.44776119402985076;-100.0
Nome de Prata;Nome de Prata – GA4;9576;6857;39.652909435613246;78;40;95.0;17595.420003;10790.730017999998;63.06051558744505;0.8145363408521302;0.5833454863642993;39.63189223057641
Nome de Prata;Nome de Prata - RD Station – GA4;0;0;;0;0;;0.0;0.0;;0.0;0.0;
Nome de Prata;Nome de Prata - RD Station – GA4;6957;4961;40.23382382584156;0;0;;0.0;0.0;;0.0;0.0;
Estoque Lucrativo;Estoque Lucrativo - Leads – GA4;0;0;;0;0;;0.0;0.0;;0.0;0.0;
Lucro e Moda;lucroemoda.com.br;0;0;;0;0;;0.0;0.0;;0.0;0.0;
Onça Preta;oncapreta.com.br – GA4 - Secudário;4106;4525;-9.259668508287293;7;4;75.0;2542.060001;1339.930004;89.71588018861915;0.17048222113979541;0.08839779005524862;92.85801266439357
Onça Preta;oncapreta.com.br – GA4;4180;4609;-9.307875894988067;7;4;75.0;2542.060001;1339.930004;89.71588018861915;0.1674641148325359;0.08678672163159037;92.96052631578947
Onça Preta;Onça Preta - Landing Page - RD;0;0;;0;0;;0.0;0.0;;0.0;0.0;
ROSE LIVING;ROSE LIVING;388;1184;-67.22972972972973;2;3;-33.33333333333333;301.509999;183.629999;64.19430411258674;0.5154639175257731;0.2533783783783784;103.43642611683845
Conta do Google Ads;nanicervan.com.br;0;0;;0;0;;0.0;0.0;;0.0;0.0;
Mapi Pijamas ;www.usomapi.com;0;5;-100.0;0;0;;0.0;0.0;;0.0;0.0;
Pargo Watersports;Pargo Watersports;0;0;;0;0;;0.0;0.0;;0.0;0.0;
www.cactus.com.br;www.cactus.com.br;5377;5417;-0.7384160974709248;10;27;-62.96296296296296;5837.880005999999;7017.769992;-16.81289052426955;0.1859773107680863;0.49843086579287427;-62.687441021084325
Lizi e Lizi E-commerce 2024;Lizi e Lizi;7363;6106;20.586308548968226;28;32;-12.5;10800.930312000002;10194.89001;5.944549685239842;0.3802797772647019;0.5240746806419915;-27.43786500067906
WN7;WN7 Performance Wix;31;50;-38.0;0;0;;0.0;0.0;;0.0;0.0;
Ornabela;Ornabela;1127;168;570.8333333333333;2;0;;429.5;0.0;;0.1774622892635315;0.0;
Vest Prado;Vest Prado;710;437;62.47139588100686;0;2;-100.0;0.0;402.36;-100.0;0.0;0.4576659038901602;-100.0
Rs Joias By Keli Sordi;Rs Joias By Keli Sordi;592;1107;-46.522131887985545;0;0;;0.0;0.0;;0.0;0.0;
Rs Joias By Keli Sordi;RS Joias Shopify;2748;0;;0;0;;0.0;0.0;;0.0;0.0;
VideLook;Ecommerce VideLook;0;0;;0;0;;0.0;0.0;;0.0;0.0;
Bebelline;Bebelline;1015;1352;-24.92603550295858;7;24;-70.83333333333334;620.4700029999999;2652.699995;-76.60986903270228;0.6896551724137931;1.7751479289940828;-61.149425287356316
site minas leds - mercado livre;ecommerce Minas Leds;0;0;;0;0;;0.0;0.0;;0.0;0.0;
site minas leds - mercado livre;Minas Leds Tray;2015;1690;19.230769230769234;2;3;-33.33333333333333;231.380002;402.400004;-42.50000007455269;0.09925558312655086;0.17751479289940827;-44.086021505376344
Onda Verão;Onda Verão ;99;176;-43.75;0;0;;0.0;0.0;;0.0;0.0;
PIMENTTA ROSA CONCEPT LTDA;Ecom Pimentta Rosa;0;0;;0;0;;0.0;0.0;;0.0;0.0;
BONACUSTICA ESQUADRIAS EM PVC E ALUMINIO LTDA;Site Bonacustica;0;0;;0;0;;0.0;0.0;;0.0;0.0;
Bambaro [Conta];Bambaro - Móveis de Luxo;716;322;122.36024844720497;0;0;;0.0;0.0;;0.0;0.0;
Bambaro [Conta];Propriedade secundária;0;0;;0;0;;0.0;0.0;;0.0;0.0;
VESTE DO CÉU;E-commerce Veste do Céu;0;0;;0;0;;0.0;0.0;;0.0;0.0;
Wild World LTDA;Taylor Baptista;222;344;-35.46511627906977;0;0;;0.0;0.0;;0.0;0.0;
Luci-Mar Moda Praia;Luci_Mar Moda Praia;13951;10527;32.525885817421866;160;104;53.84615384615385;58808.069982;40713.360009;44.444157812079425;1.1468711920292454;0.9879357841740287;16.087625370114093
Rizzatti;Rizzatti;5611;6535;-14.139250191277736;53;94;-43.61702127659575;11854.449998999999;31637.699984;-62.530620098821664;0.9445731598645517;1.4384085692425401;-34.33206808813994
