date;sessions;transactions;purchaseRevenue;conversion_rate;account_display;property_display
2025-09-14;17;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-09-15;18;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-09-16;29;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-09-17;16;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-09-18;17;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-09-19;20;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-09-20;15;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-09-21;20;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-09-22;22;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-09-23;20;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-09-24;34;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-09-25;40;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-09-26;33;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-09-27;21;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-09-28;23;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-09-29;32;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-09-30;37;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-01;58;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-02;31;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-03;21;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-04;7;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-05;16;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-06;29;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-07;20;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-08;20;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-09;38;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-10;34;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-11;11;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-12;22;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-13;37;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-14;25;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-15;27;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-16;22;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-17;26;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-18;17;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-19;22;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-20;63;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-21;25;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-22;33;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-23;38;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-24;21;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-25;20;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-26;11;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-27;34;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-28;24;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-29;27;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-30;37;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-10-31;1;0;0.0;0.0;Bambaro [Conta];Bambaro - Móveis de Luxo
2025-08-27;1104;10;2832.660006;0.9057971014492754;Banka Panka;Banka Panka – GA4
2025-08-28;1020;4;461.740001;0.39215686274509803;Banka Panka;Banka Panka – GA4
2025-08-29;921;4;1282.099999;0.43431053203040176;Banka Panka;Banka Panka – GA4
2025-08-30;1120;3;764.759999;0.26785714285714285;Banka Panka;Banka Panka – GA4
2025-08-31;1013;11;2870.940002;1.085883514313919;Banka Panka;Banka Panka – GA4
2025-09-01;1231;11;3473.970005;0.8935824532900082;Banka Panka;Banka Panka – GA4
2025-09-02;1049;11;3779.280001;1.0486177311725453;Banka Panka;Banka Panka – GA4
2025-09-03;1529;10;4431.740011;0.6540222367560496;Banka Panka;Banka Panka – GA4
2025-09-04;1397;18;6034.580003;1.288475304223336;Banka Panka;Banka Panka – GA4
2025-09-05;1610;14;3434.050009;0.8695652173913043;Banka Panka;Banka Panka – GA4
2025-09-06;1376;6;2107.790003;0.436046511627907;Banka Panka;Banka Panka – GA4
2025-09-07;1658;16;7975.620007;0.9650180940892641;Banka Panka;Banka Panka – GA4
2025-09-08;1647;13;5016.860003;0.7893139040680024;Banka Panka;Banka Panka – GA4
2025-09-09;1585;19;5315.479997;1.1987381703470033;Banka Panka;Banka Panka – GA4
2025-09-10;1555;14;4784.010002;0.9003215434083601;Banka Panka;Banka Panka – GA4
2025-09-11;1624;19;9209.799993;1.1699507389162562;Banka Panka;Banka Panka – GA4
2025-09-12;1576;10;3148.510006;0.6345177664974619;Banka Panka;Banka Panka – GA4
2025-09-13;1591;22;9579.440002;1.3827781269641735;Banka Panka;Banka Panka – GA4
2025-09-14;1697;16;5538.37002;0.9428403064230996;Banka Panka;Banka Panka – GA4
2025-09-15;1691;17;6482.229993;1.0053222945002958;Banka Panka;Banka Panka – GA4
2025-09-16;1785;18;10448.090007;1.0084033613445378;Banka Panka;Banka Panka – GA4
2025-09-17;1906;21;5613.060003;1.1017838405036726;Banka Panka;Banka Panka – GA4
2025-09-18;1848;12;3521.829997;0.6493506493506493;Banka Panka;Banka Panka – GA4
2025-09-19;1794;15;6961.730004;0.8361204013377926;Banka Panka;Banka Panka – GA4
2025-09-20;1701;23;9478.470015;1.352145796590241;Banka Panka;Banka Panka – GA4
2025-09-21;2246;18;7029.55001;0.8014247551202136;Banka Panka;Banka Panka – GA4
2025-09-22;1909;15;6813.580004;0.7857517024620221;Banka Panka;Banka Panka – GA4
2025-09-23;1906;13;8500.920002;0.6820566631689402;Banka Panka;Banka Panka – GA4
2025-09-24;1702;13;4989.119998;0.763807285546416;Banka Panka;Banka Panka – GA4
2025-09-25;1523;13;5610.549993;0.8535784635587657;Banka Panka;Banka Panka – GA4
2025-09-26;1440;18;7623.959989;1.25;Banka Panka;Banka Panka – GA4
2025-09-27;1502;14;6095.870008;0.9320905459387484;Banka Panka;Banka Panka – GA4
2025-09-28;1735;11;5836.120004;0.6340057636887608;Banka Panka;Banka Panka – GA4
2025-09-29;1801;17;8576.169995;0.9439200444197668;Banka Panka;Banka Panka – GA4
2025-09-30;1930;23;13752.479985;1.1917098445595855;Banka Panka;Banka Panka – GA4
2025-10-01;2045;22;15475.360006;1.075794621026895;Banka Panka;Banka Panka – GA4
2025-10-02;2072;22;8259.070007;1.0617760617760617;Banka Panka;Banka Panka – GA4
2025-10-03;1972;13;5809.570002;0.6592292089249493;Banka Panka;Banka Panka – GA4
2025-10-04;1951;16;7334.339995;0.8200922603792926;Banka Panka;Banka Panka – GA4
2025-10-05;2809;23;9179.250004;0.8187967248131008;Banka Panka;Banka Panka – GA4
2025-10-06;2565;9;3860.090001;0.3508771929824561;Banka Panka;Banka Panka – GA4
2025-10-07;1993;17;10013.479997;0.8529854490717512;Banka Panka;Banka Panka – GA4
2025-10-08;2055;15;6729.319995;0.7299270072992701;Banka Panka;Banka Panka – GA4
2025-10-09;2118;10;3965.100009;0.4721435316336166;Banka Panka;Banka Panka – GA4
2025-10-10;1899;17;7455.840008;0.8952080042127435;Banka Panka;Banka Panka – GA4
2025-10-11;2016;13;4411.860001;0.6448412698412698;Banka Panka;Banka Panka – GA4
2025-10-12;2200;21;16420.719997;0.9545454545454546;Banka Panka;Banka Panka – GA4
2025-10-13;2209;14;4773.460001;0.6337709370755998;Banka Panka;Banka Panka – GA4
2025-10-14;2007;22;7975.439989;1.096163428001993;Banka Panka;Banka Panka – GA4
2025-10-15;2279;24;9747.55999;1.0530934620447565;Banka Panka;Banka Panka – GA4
2025-10-16;2155;24;9634.690003;1.1136890951276102;Banka Panka;Banka Panka – GA4
2025-10-17;2340;18;9772.490001;0.7692307692307693;Banka Panka;Banka Panka – GA4
2025-10-18;2412;13;5596.670008;0.538971807628524;Banka Panka;Banka Panka – GA4
2025-10-19;2418;19;7540.369997;0.7857733664185277;Banka Panka;Banka Panka – GA4
2025-10-20;2518;14;5681.990001;0.5559968228752978;Banka Panka;Banka Panka – GA4
2025-10-21;2406;18;6786.030000000001;0.7481296758104738;Banka Panka;Banka Panka – GA4
2025-10-22;2337;17;7662.699982;0.727428326914848;Banka Panka;Banka Panka – GA4
2025-10-23;2218;20;8801.330001;0.9017132551848512;Banka Panka;Banka Panka – GA4
2025-10-24;2109;21;9745.400006;0.995732574679943;Banka Panka;Banka Panka – GA4
2025-10-25;2301;23;9472.970000000001;0.9995654063450673;Banka Panka;Banka Panka – GA4
2025-10-26;2636;19;8156.969999;0.7207890743550834;Banka Panka;Banka Panka – GA4
2025-10-27;2524;19;10204.569992;0.7527733755942948;Banka Panka;Banka Panka – GA4
